n,estimate,ci95
2000,4.047351793140773e-06,7.543494408025914e-07
4000,4.564952819157104e-06,6.158780639464372e-07
6000,4.928585295329916e-06,5.445711260111981e-07
8000,4.8786370565568995e-06,4.680962702546249e-07
10000,5.108565782945493e-06,4.314540264129159e-07
12000,5.121456922347025e-06,3.910883893398658e-07
14000,5.242628397933936e-06,3.7344360781418776e-07
16000,5.189780515130244e-06,3.4531836978756577e-07
18000,5.177174369672638e-06,3.249917693392272e-07
20000,5.1792721042881735e-06,3.065426128656584e-07
22000,5.171724550177486e-06,2.9184950354095823e-07
24000,5.124565539390862e-06,2.7793223988313473e-07
26000,5.103422573331824e-06,2.658529055297491e-07
28000,5.170798731545714e-06,2.5850909590894153e-07
30000,5.206249094140327e-06,2.5096327822982307e-07
32000,5.184497749755689e-06,2.421995022708334e-07
34000,5.14305323861143e-06,2.3270533148833186e-07
36000,5.191924366053278e-06,2.271207689490525e-07
38000,5.198810857208676e-06,2.2106254122656506e-07
40000,5.153791374410715e-06,2.1403806520585794e-07
42000,5.152391461041073e-06,2.0893112825962827e-07
44000,5.146746746786087e-06,2.0365667850077592e-07
46000,5.141136216817905e-06,1.9867779339800108e-07
48000,5.1123579677230765e-06,1.9346288111859193e-07
50000,5.1241342475943215e-06,1.8968608282935963e-07
52000,5.152080236157784e-06,1.8658548376314003e-07
54000,5.152495746930128e-06,1.829473354993654e-07
56000,5.1367354981640535e-06,1.7904473664441303e-07
58000,5.131379601724886e-06,1.756563355204478e-07
60000,5.153911428681535e-06,1.7353048351765947e-07
62000,5.170681619187946e-06,1.7106122692324992e-07
64000,5.156394362490184e-06,1.684932037566979e-07
66000,5.134552779669984e-06,1.653623523764677e-07
68000,5.157013505534549e-06,1.6344554318183492e-07
70000,5.146910866919313e-06,1.6087990611338798e-07
72000,5.149500438472018e-06,1.5892298501908132e-07
74000,5.153007586506255e-06,1.5710022629878872e-07
76000,5.168305534722026e-06,1.554028288575591e-07
78000,5.182721343015063e-06,1.538596786178661e-07
80000,5.168994262719477e-06,1.5167642799852656e-07
82000,5.166487463378312e-06,1.500841552567743e-07
84000,5.187351755693867e-06,1.487438446459071e-07
86000,5.1961178114780235e-06,1.4715949866131868e-07
88000,5.196938479594699e-06,1.455761825627901e-07
90000,5.195746636389263e-06,1.4413871012958985e-07
92000,5.189954087498858e-06,1.4253412687200208e-07
94000,5.187314524704732e-06,1.4094529145406037e-07
96000,5.194692067313185e-06,1.3962352565873737e-07
98000,5.1831225036153936e-06,1.3805487778561144e-07
100000,5.176623062755709e-06,1.3645781895422472e-07
102000,5.186891391217638e-06,1.3526848274799785e-07
104000,5.192092508519901e-06,1.3404462342384363e-07
106000,5.171608148920288e-06,1.323142872338062e-07
108000,5.165419036020264e-06,1.309440292266637e-07
110000,5.172101213714928e-06,1.3000467642202164e-07
112000,5.1611300859985496e-06,1.2856369514479392e-07
114000,5.154896832863808e-06,1.2747398079816473e-07
116000,5.173881416480237e-06,1.269252749323193e-07
118000,5.178672147704288e-06,1.261336276787157e-07
120000,5.164217798340474e-06,1.2483638831421725e-07
122000,5.164789273237267e-06,1.2371859681845613e-07
124000,5.176576586380113e-06,1.228354411390533e-07
126000,5.173467120187292e-06,1.2174344001122773e-07
128000,5.177704989622092e-06,1.2084565649964675e-07
130000,5.1785317525267355e-06,1.198845470027091e-07
132000,5.1889613042608065e-06,1.191230654595141e-07
134000,5.197542689016268e-06,1.1834521657753992e-07
136000,5.189235645768248e-06,1.1728740707962204e-07
138000,5.200260629823353e-06,1.165659108204352e-07
140000,5.196576469446531e-06,1.1568325733292345e-07
142000,5.193241645650544e-06,1.1475914701349159e-07
144000,5.186637501193457e-06,1.1381934786823786e-07
146000,5.18073187400265e-06,1.1288213395491884e-07
148000,5.186600931310686e-06,1.1233269287621504e-07
150000,5.1882863400993425e-06,1.1168555658666846e-07
152000,5.189584607349285e-06,1.1109121887025095e-07
154000,5.190674246447883e-06,1.1039485651851184e-07
156000,5.195326670038249e-06,1.0975613049384848e-07
158000,5.188195534921586e-06,1.0892950860416843e-07
160000,5.186694026919094e-06,1.0825256150756326e-07
162000,5.1803232687770285e-06,1.0746741889969212e-07
164000,5.18486004824253e-06,1.0689232107669059e-07
166000,5.190223644332945e-06,1.063347137658956e-07
168000,5.193749632184717e-06,1.0567720929244104e-07
170000,5.1870425640556605e-06,1.0495256243599464e-07
172000,5.18761585642084e-06,1.0434407856079523e-07
174000,5.202287480662612e-06,1.0387695599912824e-07
176000,5.1983970090613994e-06,1.0321109017303409e-07
178000,5.198700926545157e-06,1.0265330087699318e-07
180000,5.200011885196755e-06,1.0203911288454945e-07
182000,5.203655027642713e-06,1.0156682624050274e-07
184000,5.202505855874963e-06,1.0094801524894428e-07
186000,5.203978998456267e-06,1.0042912089708707e-07
188000,5.199248198378649e-06,9.981760595763534e-08
190000,5.2042096559251066e-06,9.936571547741332e-08
192000,5.204258675647909e-06,9.893783555701333e-08
194000,5.196644656246964e-06,9.827387985605182e-08
196000,5.193017516801044e-06,9.769287568763951e-08
198000,5.199236046249209e-06,9.732071872918875e-08
200000,5.200614229166602e-06,9.685966282145748e-08
202000,5.191447303301587e-06,9.627291572523276e-08
204000,5.192248729146104e-06,9.574398497469792e-08
206000,5.194197764419218e-06,9.527788605404083e-08
208000,5.194979206543796e-06,9.493564171025746e-08
210000,5.189718254913865e-06,9.440380628936726e-08
212000,5.185365808235797e-06,9.387354190614509e-08
214000,5.183831580769105e-06,9.34700813364034e-08
216000,5.183481070917131e-06,9.300941595601777e-08
218000,5.18903351039029e-06,9.263506521402447e-08
220000,5.193562802915756e-06,9.225015129403286e-08
222000,5.193014687729583e-06,9.180817343232555e-08
224000,5.194289098432386e-06,9.137953271742416e-08
226000,5.200488512839816e-06,9.107924548227443e-08
228000,5.200554879897239e-06,9.068859745128147e-08
230000,5.197160079936494e-06,9.022716442139921e-08
232000,5.193598239089099e-06,8.983645083959756e-08
234000,5.193044727447668e-06,8.945649149616393e-08
236000,5.189169250036794e-06,8.902190298785121e-08
238000,5.190323261408833e-06,8.864256708073075e-08
240000,5.194996418596139e-06,8.832678225659758e-08
242000,5.197281631358847e-06,8.801035159718819e-08
244000,5.199248156768047e-06,8.768435472282024e-08
246000,5.206381866979507e-06,8.743959355588012e-08
248000,5.211808624394306e-06,8.714638930027638e-08
250000,5.210840112287678e-06,8.678486548214299e-08
252000,5.219925728647255e-06,8.65448763336611e-08
254000,5.220092430002479e-06,8.623100747539999e-08
256000,5.216970017818543e-06,8.581636464076144e-08
258000,5.219690018554967e-06,8.550074723490929e-08
260000,5.215287906851244e-06,8.518442663107569e-08
262000,5.220409304105248e-06,8.494870542893139e-08
264000,5.223031453799337e-06,8.464489643018361e-08
266000,5.220730961164386e-06,8.426216627150898e-08
268000,5.217810268437681e-06,8.394356644525679e-08
270000,5.217618310292396e-06,8.360925908125973e-08
272000,5.21772400962543e-06,8.327207839267774e-08
274000,5.220615269677404e-06,8.29705001533157e-08
276000,5.217227006315371e-06,8.262353965154667e-08
278000,5.219953274186201e-06,8.237510085345422e-08
280000,5.220086336512542e-06,8.208891874490097e-08
282000,5.220120484907402e-06,8.183882963033849e-08
284000,5.221662739784562e-06,8.15672311407134e-08
286000,5.223655316067643e-06,8.137526607483479e-08
288000,5.222827587958851e-06,8.109646970920475e-08
290000,5.224703477536025e-06,8.085109508667155e-08
292000,5.218325598409297e-06,8.049921941324603e-08
294000,5.225476509217457e-06,8.028932859045614e-08
296000,5.229013419152226e-06,8.007643663556412e-08
298000,5.22914275097791e-06,7.978606402892353e-08
300000,5.22718885432249e-06,7.953548307233192e-08
302000,5.232821418117735e-06,7.932028698555451e-08
304000,5.23422910301356e-06,7.906873582569129e-08
306000,5.233282539987149e-06,7.880620399012154e-08
308000,5.230667376535475e-06,7.855838387764367e-08
310000,5.23656810785658e-06,7.838647777884392e-08
312000,5.240578109679822e-06,7.818864631711517e-08
314000,5.239425290824333e-06,7.794978232859199e-08
316000,5.237486253860378e-06,7.768413536078397e-08
318000,5.232032432926938e-06,7.736354833837962e-08
320000,5.228324812525914e-06,7.707783367868924e-08
322000,5.231506988174693e-06,7.687610141800275e-08
324000,5.230184772036418e-06,7.667385568686487e-08
326000,5.228966314979986e-06,7.640581345094382e-08
328000,5.226205848370301e-06,7.612271250470857e-08
330000,5.227562658386485e-06,7.585832976795475e-08
332000,5.2254321295030266e-06,7.564522230026598e-08
334000,5.232693412179637e-06,7.549406604772951e-08
336000,5.232929707489457e-06,7.5248950248715e-08
338000,5.235667877092196e-06,7.503787888972904e-08
340000,5.235945711872878e-06,7.479633094609824e-08
342000,5.2410934493514695e-06,7.463584507760221e-08
344000,5.245200555641785e-06,7.44563522090953e-08
346000,5.250903370541197e-06,7.432334226640815e-08
348000,5.2504579538146045e-06,7.408822619024158e-08
350000,5.24966187287491e-06,7.387681665924962e-08
352000,5.248806130528762e-06,7.366878381372685e-08
354000,5.248172175978217e-06,7.345048862597593e-08
356000,5.245260061736903e-06,7.320986026708484e-08
358000,5.247911116092338e-06,7.303379901068213e-08
360000,5.2466297120269705e-06,7.282574665307979e-08
362000,5.244427531743803e-06,7.260440289293518e-08
364000,5.2449187701081395e-06,7.241085550106163e-08
366000,5.242966451082729e-06,7.218852345930853e-08
368000,5.242730477068767e-06,7.1977828914934e-08
370000,5.240488269897122e-06,7.174961104285135e-08
372000,5.240068937555141e-06,7.154218434220933e-08
374000,5.239329999200871e-06,7.137634240813244e-08
376000,5.238305362928846e-06,7.118468782395629e-08
378000,5.235765089384481e-06,7.096654975717864e-08
380000,5.235626962088747e-06,7.07870016879357e-08
382000,5.239913000519051e-06,7.06615253079838e-08
384000,5.236253150973856e-06,7.043076924032244e-08
386000,5.234404032155349e-06,7.023345532964378e-08
388000,5.232988178088582e-06,7.004466406897768e-08
390000,5.233622962143309e-06,6.988435016335846e-08
392000,5.228788526619731e-06,6.96492362449985e-08
394000,5.228879515200318e-06,6.947923888912076e-08
396000,5.2259839565004434e-06,6.925987113791794e-08
398000,5.224566414223621e-06,6.904541625438403e-08
400000,5.223305406783677e-06,6.88481462659155e-08
