District,Side,Alpha,Population,True_Blackout_Probability,Expected_People_Affected
Maltepe,Asia,0.08,525044,0.0522220439923172,27418.870865902194
Beyoğlu,Europe,0.08,215991,0.051832176677415485,11195.283672731648
Fatih,Europe,0.08,351786,0.0518174262573943,18228.64511338371
Şişli,Europe,0.1099,261959,0.013111344232176754,3434.6346237167904
Kağıthane,Europe,0.1241,446420,0.006725918415184911,3002.584498906848
Beşiktaş,Europe,0.1272,165895,0.006351096527890003,1053.615158494312
Kartal,Asia,0.1228,475630,0.006300464865953235,2996.690104193337
Esenyurt,Europe,0.1634,1003905,0.0004445658856192722,446.30191540261546
Pendik,Asia,0.1783,752033,0.00014748707861181605,110.91515018967986
Beylikdüzü,Europe,0.1792,422988,0.000134737425885722,56.99231430054977
Arnavutköy,Europe,0.1807,358469,0.00012037763007101942,43.151648673928264
Sultangazi,Europe,0.1886,529306,6.437918188248144e-05,34.07628724548872
Küçükçekmece,Europe,0.1902,785270,5.5729545381983045e-05,43.762740102109824
Gaziosmanpaşa,Europe,0.1918,478395,5.218624150648701e-05,24.965637005495854
Sarıyer,Europe,0.2012,344883,2.6516487320832062e-05,9.145085696670524
Avcılar,Europe,0.1996,440663,2.6210841356731997e-05,11.550147984781592
Eyüpsultan,Europe,0.2091,425216,1.6095205887303033e-05,6.843939066575446
Bağcılar,Europe,0.2059,707635,1.4645094199763891e-05,10.363381234049921
Sancaktepe,Asia,0.2116,507500,1.0387551865544225e-05,5.271682571763694
Büyükçekmece,Europe,0.2248,283239,4.8328782100667855e-06,1.3688595913411064
Bahçelievler,Europe,0.2185,539035,4.608921686419908e-06,2.4843701012393553
Sultanbeyli,Asia,0.2288,378908,4.535647168398165e-06,1.718592997283412
Çekmeköy,Asia,0.2215,315959,3.615893347988715e-06,1.1424740463371663
Başakşehir,Europe,0.2327,536797,3.3778180236359544e-06,1.8132025816337094
Zeytinburnu,Europe,0.2327,275471,3.1977985159162113e-06,0.8809007549779546
Bayrampaşa,Europe,0.239,272978,3.1440851494738335e-06,0.8582660759330681
Esenler,Europe,0.2343,419878,1.944213968628111e-06,0.8163326727196341
Silivri,Europe,0.2311,240029,1.471133019709205e-06,0.35311458758778075
Kadıköy,Asia,0.2405,458573,1.364587907408322e-06,0.6257631704639565
Ataşehir,Asia,0.2456,412125,1.3377928245483854e-06,0.5513378678170033
Üsküdar,Asia,0.2376,514294,1.2579761815258778e-06,0.6469696023016698
Güngören,Europe,0.2358,251242,1.1137860327466604e-06,0.27982983043933646
Bakırköy,Europe,0.2421,218204,9.644776519365918e-07,0.21045288156317207
Beykoz,Asia,0.2423,246833,9.233110756145886e-07,0.22790364272717575
Şile,Asia,0.242,50090,9.210851401583276e-07,0.046137154670530624
Tuzla,Asia,0.2445,313865,7.427685374051524e-07,0.23312904699266815
Çatalca,Europe,0.2469,81143,7.172486490302728e-07,0.058199707128263424
Ümraniye,Asia,0.2394,728913,6.742423959915318e-07,0.4914640475893754
