District,Side,Population,Alpha,Blackout_Probability,SE,CI_95
Maltepe,Asia,525044,0.08,0.05189,0.0007014087816672956,0.0013747612120678994
Beyoğlu,Europe,215991,0.08,0.0517,0.000700193616080581,0.0013723794875179387
Fatih,Europe,351786,0.08,0.05147,0.000698719107367188,0.0013694894504396886
Şişli,Europe,261959,0.1099,0.01253,0.0003517527412828505,0.000689435372914387
Kağıthane,Europe,446420,0.1241,0.00664,0.00025682504550763734,0.0005033770891949692
Kartal,Asia,475630,0.1228,0.00627,0.0002496134431475997,0.0004892423485692954
Beşiktaş,Europe,165895,0.1272,0.00624,0.00024901932455132875,0.00048807787612060435
Esenyurt,Europe,1003905,0.1634,0.00035,5.9150443785317456e-05,0.00011593486981922221
Beylikdüzü,Europe,422988,0.1792,0.00015,3.872692861562868e-05,7.590478008663221e-05
Pendik,Asia,752033,0.1783,0.00014,3.741395461589165e-05,7.333135104714763e-05
Arnavutköy,Europe,358469,0.1807,0.00012,3.4638937628050894e-05,6.789231775097975e-05
Sultangazi,Europe,529306,0.1886,9e-05,2.9998649969623634e-05,5.879735394046232e-05
Küçükçekmece,Europe,785270,0.1902,8e-05,2.8283139853983683e-05,5.543495411380802e-05
Avcılar,Europe,440663,0.1996,6e-05,2.4494162569885914e-05,4.800855863697639e-05
Sarıyer,Europe,344883,0.2012,5e-05,2.2360120751015635e-05,4.382583667199064e-05
Gaziosmanpaşa,Europe,478395,0.1918,5e-05,2.2360120751015635e-05,4.382583667199064e-05
Eyüpsultan,Europe,425216,0.2091,3e-05,1.732024826611905e-05,3.394768660159334e-05
Bağcılar,Europe,707635,0.2059,3e-05,1.732024826611905e-05,3.394768660159334e-05
Büyükçekmece,Europe,283239,0.2248,3e-05,1.732024826611905e-05,3.394768660159334e-05
Bahçelievler,Europe,539035,0.2185,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Başakşehir,Europe,536797,0.2327,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Esenler,Europe,419878,0.2343,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Üsküdar,Asia,514294,0.2376,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Tuzla,Asia,313865,0.2445,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Şile,Asia,50090,0.242,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Sultanbeyli,Asia,378908,0.2288,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Bakırköy,Europe,218204,0.2421,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Sancaktepe,Asia,507500,0.2116,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Bayrampaşa,Europe,272978,0.239,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Beykoz,Asia,246833,0.2423,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Kadıköy,Asia,458573,0.2405,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Ataşehir,Asia,412125,0.2456,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Çekmeköy,Asia,315959,0.2215,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Zeytinburnu,Europe,275471,0.2327,1e-05,9.999949999874999e-06,1.9599901999754998e-05
Silivri,Europe,240029,0.2311,0.0,0.0,3e-05
Çatalca,Europe,81143,0.2469,0.0,0.0,3e-05
Güngören,Europe,251242,0.2358,0.0,0.0,3e-05
Ümraniye,Asia,728913,0.2394,0.0,0.0,3e-05
