n,estimate,ci95
400,2.2072626478056755e-06,2.683919923256802e-06
800,3.9432111895629055e-06,4.570133446998985e-06
1200,7.967510709343095e-06,9.49340641021694e-06
1600,7.115401025074628e-06,7.379464501771765e-06
2000,1.0692989239043302e-05,8.72917153161949e-06
2400,9.897782240444237e-06,7.386785395155655e-06
2800,1.21567138344207e-05,7.862055308141381e-06
3200,1.1123771857226483e-05,6.903903477516908e-06
3600,1.0391852462951554e-05,6.158860242812219e-06
4000,9.440184325629483e-06,5.5444116233102e-06
4400,9.056875209681921e-06,5.081087924415171e-06
4800,9.445130955832988e-06,5.154428532134959e-06
5200,8.793174896784384e-06,4.758942674704541e-06
5600,8.218535503467781e-06,4.419699111679479e-06
6000,7.783645541827243e-06,4.128538348903893e-06
6400,7.309699794102745e-06,3.8708116816323725e-06
6800,7.389265852890709e-06,3.739389259635187e-06
7200,7.006062042350259e-06,3.5321208459405904e-06
7600,6.704690514964364e-06,3.348290408584121e-06
8000,6.397627588862824e-06,3.181379446523474e-06
8400,6.119673021232007e-06,3.0302252698717044e-06
8800,5.9544925991432064e-06,2.8990478195000442e-06
9200,5.8422534410067415e-06,2.7852583829166657e-06
9600,5.59986955712553e-06,2.6693076869432196e-06
10000,6.061641589468296e-06,2.789238874263208e-06
10400,6.259756544414758e-06,2.808598035673007e-06
10800,7.61795099888043e-06,3.797833146874301e-06
11200,8.613012922782236e-06,4.202275555499392e-06
11600,8.500642956416196e-06,4.070413393207948e-06
12000,8.273558702838588e-06,3.935204253535651e-06
12400,8.014514135932304e-06,3.808361891378885e-06
12800,8.276949627016565e-06,3.8137621841489523e-06
13200,8.453522419562242e-06,3.743449218638551e-06
13600,8.239715677205578e-06,3.633890210469384e-06
14000,8.06692871963021e-06,3.530828140105358e-06
14400,7.930877540841834e-06,3.43570289522248e-06
14800,7.776443593970888e-06,3.3448100251554094e-06
15200,7.573328356055884e-06,3.2568487666378696e-06
15600,7.541905181801107e-06,3.179543800142488e-06
16000,7.5117443035944036e-06,3.1111244560933303e-06
16400,7.3537874440966486e-06,3.0354204637061015e-06
16800,1.1477894105539227e-05,8.306452776791083e-06
17200,1.1236691615314007e-05,8.113416098140147e-06
17600,1.098301311617915e-05,7.929058598846143e-06
18000,1.093879340195233e-05,7.756271345034746e-06
18400,1.0961249344830496e-05,7.594671593722654e-06
18800,1.0734472431238943e-05,7.433120041766679e-06
19200,1.0704605868653088e-05,7.282446930745712e-06
19600,1.0504504947388122e-05,7.133899755098095e-06
20000,1.032208915396294e-05,6.99133015742857e-06
20400,1.017056556001223e-05,6.85448961905904e-06
20800,1.0038703928673846e-05,6.723587154803931e-06
21200,9.854292089247667e-06,6.5967532005027265e-06
21600,9.874314021875218e-06,6.4830527700494e-06
22000,1.008547385763635e-05,6.404628916688458e-06
22400,9.910865594731844e-06,6.2902869540625555e-06
22800,9.737794870566127e-06,6.179954003369623e-06
23200,9.580211559330545e-06,6.073432270986349e-06
23600,9.422099197506182e-06,5.9705159453545845e-06
24000,9.32440985475494e-06,5.872103960260117e-06
24400,9.1810659984449e-06,5.7758796741725506e-06
24800,9.039455361782028e-06,5.682742146156079e-06
25200,9.228361348126517e-06,5.626858155070311e-06
25600,9.085875986391113e-06,5.538956114930701e-06
26000,8.95107528625974e-06,5.453764974774316e-06
26400,1.0010739715101862e-05,5.741919634595883e-06
26800,9.962546273289974e-06,5.6582551026723295e-06
27200,9.844620027353935e-06,5.575181072017422e-06
27600,1.0018678896158772e-05,5.511066889687307e-06
28000,1.0079191942120324e-05,5.443782027880796e-06
28400,9.969143311225304e-06,5.367316131236344e-06
28800,1.0289897708939798e-05,5.350388554209704e-06
29200,1.0323612911304405e-05,5.281148770071325e-06
29600,1.0211923296026639e-05,5.209940868451625e-06
30000,1.0102239172239874e-05,5.140723053962401e-06
30400,9.975762351173466e-06,5.0731050092745205e-06
30800,9.852683502738882e-06,5.007240400153468e-06
31200,1.0180822292736185e-05,5.0189008097010335e-06
31600,1.0076759949170905e-05,4.9554766990523616e-06
32000,9.971361996940231e-06,4.893572143253266e-06
32400,1.013981219614165e-05,4.863753547871325e-06
32800,1.0068733081117427e-05,4.805362090537808e-06
33200,1.0027089015202728e-05,4.748812262729786e-06
33600,9.94215659886393e-06,4.692652533137366e-06
34000,9.841106432653294e-06,4.637490531466049e-06
34400,9.731773382100091e-06,4.583585132834445e-06
34800,9.828640847953676e-06,4.5395818241332805e-06
35200,9.725511351214323e-06,4.488017990835137e-06
35600,9.624741416090668e-06,4.437611340123883e-06
36000,9.576899932807412e-06,4.389645808993595e-06
36400,9.756349726860205e-06,4.361273193184499e-06
36800,9.652915213923561e-06,4.313881177301508e-06
37200,1.0345540593516385e-05,4.482727994422228e-06
37600,1.0286237403352386e-05,4.435831729883078e-06
38000,1.037312259595421e-05,4.403558928072381e-06
38400,1.028712388642448e-05,4.357876210336943e-06
38800,1.0351928403707836e-05,4.316340789741535e-06
39200,1.0351218270374705e-05,4.276960292713516e-06
39600,1.0248313534967614e-05,4.2337709134582515e-06
40000,1.0249556404890826e-05,4.196195338217786e-06
40400,1.0152105234114747e-05,4.154662320398314e-06
40800,1.0072940881830207e-05,4.114071846186298e-06
41200,9.980252650157862e-06,4.074143374871703e-06
41600,9.94910785269946e-06,4.036590492162239e-06
42000,9.869472924647296e-06,3.9981797618537955e-06
42400,9.806445693927505e-06,3.960749918215405e-06
42800,9.718652153157229e-06,3.923745868831281e-06
43200,1.0037542847293047e-05,3.960923723204972e-06
43600,1.006619070945518e-05,3.930584294848233e-06
44000,1.0003876011011e-05,3.89497307277523e-06
44400,9.953582148030215e-06,3.860592701214502e-06
44800,1.0154194949299535e-05,3.848412873594585e-06
45200,1.007434969443927e-05,3.8143911304074526e-06
45600,9.99100935375964e-06,3.7809430365249473e-06
46000,1.2174902223182419e-05,5.813407314788529e-06
46400,1.2260852180074055e-05,5.768563219648049e-06
46800,1.2160876931667019e-05,5.719270684936355e-06
47200,1.207098641302568e-05,5.670823015837145e-06
47600,1.1974128380509332e-05,5.623179579270491e-06
48000,1.200324116319152e-05,5.580942200941662e-06
48400,1.190753764647877e-05,5.534829616962009e-06
48800,1.1827642848110136e-05,5.4895303037357515e-06
49200,1.1761011453110748e-05,5.445195883467332e-06
49600,1.1725144185921434e-05,5.402289758125684e-06
50000,1.211508315919498e-05,5.440288376684453e-06
50400,1.2148943947220893e-05,5.400372522148683e-06
50800,1.2060925750236e-05,5.357869150483878e-06
51200,1.204968106536487e-05,5.3181142863853774e-06
51600,1.2032678404022125e-05,5.27883011773199e-06
52000,1.197303985444631e-05,5.238423079012616e-06
52400,1.1931644156832614e-05,5.199212458347782e-06
52800,1.1844046427432346e-05,5.15983268050081e-06
53200,1.1773859678589718e-05,5.1210951694972885e-06
53600,1.16893148169955e-05,5.082886264821877e-06
54000,1.1616835194253826e-05,5.045270003272388e-06
54400,1.2482465716301606e-05,5.330614000571906e-06
54800,1.240075585030591e-05,5.29172462135824e-06
55200,1.2333527540834046e-05,5.253457848357342e-06
55600,1.225075207751087e-05,5.215673805372503e-06
56000,1.223974021443183e-05,5.180061414339926e-06
56400,1.2163097941905591e-05,5.1433584322924616e-06
56800,1.208236060450195e-05,5.107148422904557e-06
57200,1.1998099476017817e-05,5.0714407916795564e-06
57600,1.194312061552558e-05,5.036341517699383e-06
58000,1.1903345834033732e-05,5.001940486842036e-06
58400,1.2146645654824544e-05,5.0076809235964805e-06
58800,1.2221535049643055e-05,4.982475946749997e-06
59200,1.2140715146873594e-05,4.948817311796421e-06
59600,1.2059567690821444e-05,4.915610174420308e-06
60000,1.1991675891078915e-05,4.8828633812773714e-06
60400,1.1925572810642438e-05,4.850598723325575e-06
60800,1.1886608274687939e-05,4.819119644545288e-06
61200,1.181373837416031e-05,4.787634106250816e-06
61600,1.1745588510670135e-05,4.75657312674123e-06
62000,1.1830204968836095e-05,4.731184658686465e-06
62400,1.1763264208915153e-05,4.700888193141709e-06
62800,1.1828426373450175e-05,4.677850041923305e-06
63200,1.1839794576471252e-05,4.650040152726599e-06
63600,1.1844443217241825e-05,4.621577017783107e-06
64000,1.1776878533796749e-05,4.592708827396249e-06
64400,1.1887857448873332e-05,4.578249655768832e-06
64800,1.1838604913630857e-05,4.550108057633932e-06
65200,1.1766971010928695e-05,4.522198900443231e-06
65600,1.1807952773338189e-05,4.4973847824520644e-06
