District,Side,Alpha,Population,True_Blackout_Probability,Expected_People_Affected,Theta_Used
Fatih,Europe,0.08,351786,0.026985449138796042,9493.103210740504,3.5
Beyoğlu,Europe,0.08,215991,0.02599402786277637,5614.4760721089315,3.5
Maltepe,Asia,0.08,525044,0.025662808229594464,13474.103484099196,3.5
Kağıthane,Europe,0.1241,446420,0.012723097613253858,5679.845236508788,3.5
Beşiktaş,Europe,0.1272,165895,0.012610691959762296,2092.050742664766,3.5
Şişli,Europe,0.1099,261959,0.012403190560963092,3249.1273961593306,3.5
Gaziosmanpaşa,Europe,0.1918,478395,0.0014215752355165407,680.0744847949355,3.5
Bayrampaşa,Europe,0.239,272978,0.0012859891716282177,351.0467520927276,3.5
Kartal,Asia,0.1228,475630,0.0012248944584145492,582.596551255712,3.5
Zeytinburnu,Europe,0.2327,275471,0.001132666770181503,312.0168478486688,3.5
Eyüpsultan,Europe,0.2091,425216,0.0010212997700358131,434.27300301554834,3.5
Esenler,Europe,0.2343,419878,0.0008699575068706409,365.27601806983097,3.5
Sarıyer,Europe,0.2012,344883,0.0008006578207864307,276.13327120628657,3.5
Sancaktepe,Asia,0.2116,507500,0.0005531030130459774,280.6997791208335,3.5
Sultanbeyli,Asia,0.2288,378908,0.0004981114981910142,188.7384315565608,3.5
Sultangazi,Europe,0.1886,529306,0.00048331804931141476,255.8231434088277,3.5
Güngören,Europe,0.2358,251242,0.0004794577892558111,120.4599338882085,3.5
Bakırköy,Europe,0.2421,218204,0.00047930064926353426,104.58531887190023,3.5
Pendik,Asia,0.1783,752033,0.00044849856862511317,337.2857240588497,3.5
Beykoz,Asia,0.2423,246833,0.00038261687439140863,94.44247095665456,3.5
Ataşehir,Asia,0.2456,412125,0.0003462546194598221,142.70018504487916,3.5
Çekmeköy,Asia,0.2215,315959,0.0003003193236821139,94.88859319127702,3.5
Kadıköy,Asia,0.2405,458573,0.0002779263280215459,127.44951001982437,3.5
Şile,Asia,0.242,50090,0.00027042808465618616,13.545742760428364,3.5
Üsküdar,Asia,0.2376,514294,0.00024137810584706946,124.13931156851274,3.5
Tuzla,Asia,0.2445,313865,0.00023027849701337145,72.27636046510183,3.5
Ümraniye,Asia,0.2394,728913,0.00017568198983509026,128.05688625666514,3.5
Başakşehir,Europe,0.2327,536797,0.00011615613950263815,62.35226721659765,3.5
Büyükçekmece,Europe,0.2248,283239,4.1568262095996984e-05,11.77375298780809,3.5
Esenyurt,Europe,0.1634,1003905,3.815915601622508e-05,38.30816752046844,3.5
Arnavutköy,Europe,0.1807,358469,3.4589896065687406e-05,12.3994054527709,3.5
Beylikdüzü,Europe,0.1792,422988,2.5702149883170144e-05,10.871700974782373,3.5
Avcılar,Europe,0.1996,440663,2.372677832544337e-05,10.455513317224852,3.5
Çatalca,Europe,0.2469,81143,2.1576759283491063e-05,1.7508029785403154,3.5
Küçükçekmece,Europe,0.1902,785270,4.2978633405338505e-06,3.374983145421017,3.5
Silivri,Europe,0.2311,240029,3.3807467251176678e-06,0.8114772556832687,3.5
Bağcılar,Europe,0.2059,707635,1.8989295163330638e-06,1.3437489882903475,3.5
Bahçelievler,Europe,0.2185,539035,1.7261404583041768e-06,0.930450121941992,3.5
