District,Side,Population,Alpha,Blackout_Probability,SE,CI_95
Fatih,Europe,351786,0.08,0.02834,0.0005247556040672648,0.001028520983971839
Beyoğlu,Europe,215991,0.08,0.02634,0.0005064208171076698,0.0009925848015310326
Maltepe,Asia,525044,0.08,0.02394,0.00048339297057363174,0.0009474502223243182
Beşiktaş,Europe,165895,0.1272,0.01267,0.0003536873068121049,0.0006932271213517256
Kağıthane,Europe,446420,0.1241,0.01263,0.0003531357118729285,0.0006921459952709399
Şişli,Europe,261959,0.1099,0.0121,0.00034573964192727454,0.0006776496981774581
Kartal,Asia,475630,0.1228,0.00125,0.00011173349990043273,0.00021899765980484815
Gaziosmanpaşa,Europe,478395,0.1918,0.00119,0.00010902219498799316,0.00021368350217646658
Bayrampaşa,Europe,272978,0.239,0.00111,0.00010529804841496352,0.0002063841748933285
Zeytinburnu,Europe,275471,0.2327,0.00098,9.894642995075668e-05,0.0001939350027034831
Eyüpsultan,Europe,425216,0.2091,0.00096,9.793254821559583e-05,0.0001919477945025678
Sarıyer,Europe,344883,0.2012,0.00094,9.69080182441061e-05,0.00018993971575844795
Esenler,Europe,419878,0.2343,0.00072,8.482226122899577e-05,0.0001662516320088317
Beykoz,Asia,246833,0.2423,0.00047,6.854043332223689e-05,0.0001343392493115843
Sancaktepe,Asia,507500,0.2116,0.00045,6.706694416774929e-05,0.0001314512105687886
Sultanbeyli,Asia,378908,0.2288,0.00042,6.479379599930846e-05,0.00012699584015864459
Güngören,Europe,251242,0.2358,0.0004,6.323290282756281e-05,0.0001239364895420231
Bakırköy,Europe,218204,0.2421,0.0004,6.323290282756281e-05,0.0001239364895420231
Pendik,Asia,752033,0.1783,0.00039,6.243780105032527e-05,0.00012237809005863752
Sultangazi,Europe,529306,0.1886,0.0003,5.476403929587371e-05,0.00010733751701991247
Ataşehir,Asia,412125,0.2456,0.0003,5.476403929587371e-05,0.00010733751701991247
Çekmeköy,Asia,315959,0.2215,0.00029,5.3843839016177145e-05,0.0001055339244717072
Kadıköy,Asia,458573,0.2405,0.00025,4.9993749609326164e-05,9.798774923427928e-05
Şile,Asia,50090,0.242,0.00024,4.898391572751203e-05,9.600847482592358e-05
Üsküdar,Asia,514294,0.2376,0.00022,4.689899785709712e-05,9.192203579991035e-05
Tuzla,Asia,313865,0.2445,0.0002,4.4716887190411634e-05,8.764509889320681e-05
Ümraniye,Asia,728913,0.2394,0.00018,4.242258832273203e-05,8.314827311255479e-05
Başakşehir,Europe,536797,0.2327,6e-05,2.4494162569885914e-05,4.800855863697639e-05
Avcılar,Europe,440663,0.1996,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Beylikdüzü,Europe,422988,0.1792,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Arnavutköy,Europe,358469,0.1807,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Esenyurt,Europe,1003905,0.1634,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Büyükçekmece,Europe,283239,0.2248,2e-05,1.4141994201667599e-05,2.7718308635268494e-05
Silivri,Europe,240029,0.2311,0.0,0.0,3e-05
Bağcılar,Europe,707635,0.2059,0.0,0.0,3e-05
Bahçelievler,Europe,539035,0.2185,0.0,0.0,3e-05
Çatalca,Europe,81143,0.2469,0.0,0.0,3e-05
Küçükçekmece,Europe,785270,0.1902,0.0,0.0,3e-05
